Altium Designer Pick and Place Locations
D:\localrep\WoTs_Proximo_hardware\Altium\Project Outputs for Proximo\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       12-04-18
Time:       16:25
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C4","1.0uF","TopLayer","CAPC1608X06L","-1456.693","198.049","360","Capacitor X7R 0603"
"U4","TH06","TopLayer","TH06_MODULE","-801.181","-842.520","180","I2C Humidity and Temperature Sensor module"
"X2","NX3215SA","TopLayer","XTAL_3215","-1155.118","-47.244","180","XTAL SMD 3215, 32.768kHz, Cl=9pF, Total Tol: ±50ppm"
"X1","NX3225SA","TopLayer","NDK-32MHZ-XTAL","-1437.008","515.748","180","NDK  NX3225SA 32MHz Oscillator"
"Q2","BC850CLT1G","TopLayer","SOT23","759.842","-767.716","90","NPN general purpose transistor"
"L3","10µH","TopLayer","74479777XXX_0805","-1371.063","137.795","180","WE-PMI Power Multilayer Inductor, L= 10.0µH"
"L2","15nH","TopLayer","WE-MK_0402A","-1471.656","137.358","180","WE-MK Multilayer Ceramic SMD Inductor, size 0402A, 15nH"
"J1","1848642","BottomLayer","PHOENIX_1848642","1141.732","0.000","270","Plug component, Push-in spring connection"
"C9","4.7uF","TopLayer","CAPC1608X06L","-1370.079","74.803","360","Capacitor X7R 0603"
"C5","100nF","TopLayer","CAPC1608X06L","-468.504","893.701","360","Capacitor 0603"
"A1","Proant2400","TopLayer","PROANT2400","-1190.945","776.968","90","Onboard SMD 2400 MHz Antenna for BLE, WLAN/Wifi"
"J2","79578211","BottomLayer","79578211","236.220","9.646","90","Battery Holder WA-BCPH, Battery Type: 2450p"
"J3","79578211","BottomLayer","79578211","-866.142","9.646","90","Battery Holder WA-BCPH, Battery Type: 2450p"
"C3","4.7uF","TopLayer","CAPC1608X06L","205.709","857.284","360","Capacitor X7R 0603"
"C8","12pF","TopLayer","CAPC1005X04L","-1460.630","418.092","360","Capacitor NP0 0402"
"C6","12pF","TopLayer","CAPC1005X04L","-1417.323","318.898","360","Capacitor NP0 0402"
"C7","12pF","TopLayer","CAPC1005X04L","-1417.323","283.465","360","Capacitor NP0 0402"
"C10","12pF","TopLayer","CAPC1005X04L","-1330.709","507.874","270","Capacitor NP0 0402"
"C11","100nF","TopLayer","CAPC1608X06L","-1308.136","-70.866","90","Capacitor 0603"
"C12","6pF","TopLayer","CAPC1608X06L","-1261.811","-70.866","90","Capacitor NP0 0603 50V"
"C13","100nF","TopLayer","CAPC1608X06L","-1417.323","359.449","360","Capacitor 0603"
"C14","100pF","TopLayer","CAPC1608X06L","-1283.465","519.685","90","Capacitor 0603"
"C15","100pF","TopLayer","CAPC1608X06L","-1236.220","519.685","90","Capacitor 0603"
"C16","6pF","TopLayer","CAPC1608X06L","-1049.213","-76.330","90","Capacitor NP0 0603 50V"
"C17","TBD","TopLayer","CAPC1005X04L","-1173.228","476.378","360","Capacitor, 0402"
"C18","TBD","TopLayer","CAPC1005X04L","-1173.228","594.488","360","Capacitor, 0402"
"C19","100nF","TopLayer","CAPC1608X06L","-971.063","144.095","180","Capacitor 0603"
"C20","100nF","TopLayer","CAPC1608X06L","-725.394","-597.441","270","Capacitor 0603"
"C21","100nF","TopLayer","CAPC1608X06L","-149.803","-649.606","90","Capacitor 0603"
"C22","100nF","TopLayer","CAPC1608X06L","452.323","-654.252","90","Capacitor 0603"
"C23","100nF","TopLayer","CAPC1608X06L","-725.315","-62.008","90","Capacitor 0603"
"C24","100nF","TopLayer","CAPC1608X06L","-138.228","-60.630","90","Capacitor 0603"
"C25","100nF","TopLayer","CAPC1608X06L","451.299","-59.567","90","Capacitor 0603"
"C26","100nF","TopLayer","CAPC1608X06L","-726.693","529.213","90","Capacitor 0603"
"C27","100nF","TopLayer","CAPC1608X06L","-158.425","526.181","90","Capacitor 0603"
"C28","100nF","TopLayer","CAPC1608X06L","454.842","527.756","90","Capacitor 0603"
"C29","100pF","TopLayer","CAPC1005X04L","-353.346","-437.008","360","Capacitor"
"C30","100pF","TopLayer","CAPC1005X04L","-382.244","-903.740","270","Capacitor"
"C31","1n","TopLayer","CAPC1005X04L","-381.890","-991.772","90","Capacitor"
"D3","CRS08","TopLayer","SOD-123F","-314.961","823.268","180","CRS08 Schottky Diode"
"D4","CRS08","TopLayer","SOD-123F","-314.961","968.583","180","CRS08 Schottky Diode"
"D5","SK6812mini","TopLayer","SK6812MINI","-590.551","-590.551","180","RGB LED with integrated controller"
"D6","SK6812mini","TopLayer","SK6812MINI","-11.102","-590.551","180","RGB LED with integrated controller"
"D7","SK6812mini","TopLayer","SK6812MINI","590.551","-590.551","180","RGB LED with integrated controller"
"D8","SK6812mini","TopLayer","SK6812MINI","-590.551","0.000","180","RGB LED with integrated controller"
"D9","SK6812mini","TopLayer","SK6812MINI","0.000","0.000","180","RGB LED with integrated controller"
"D10","SK6812mini","TopLayer","SK6812MINI","590.551","0.000","180","RGB LED with integrated controller"
"D11","SK6812mini","TopLayer","SK6812MINI","-590.551","590.551","180","RGB LED with integrated controller"
"D12","SK6812mini","TopLayer","SK6812MINI","-18.268","590.551","180","RGB LED with integrated controller"
"D13","SK6812mini","TopLayer","SK6812MINI","590.551","590.551","180","RGB LED with integrated controller"
"D14","CRS08","TopLayer","SOD-123F","779.528","-882.874","180","CRS08 Schottky Diode"
"J4","M40-310054R","TopLayer","HARWIN_CONNECTOR","-1232.284","-602.362","270","Harwin connector 2Rows x 6 contacts M40-3100545R"
"L1","1.1 A, 6.8 uH","TopLayer","WE-MAPI_3015","364.331","962.323","90","WE-MAPI SMD Shielded Power Inductor, size 3015, 1.1 A, 6.8 uH"
"L4","TBD","TopLayer","INDC1005X04L","-1153.543","534.449","90","High frequency chip inductor"
"LDR1","NSL-19M51","TopLayer","LDR","-301.644","-594.488","180","Light Dependant Resistor Phot"
"Q1","BC850CLT1G","TopLayer","SOT23","1043.307","-405.512","270","NPN general purpose transistor"
"R1","4k99","TopLayer","RESC1005X35X20NL05T10","925.197","-442.913","180","SMD Resistor"
"R2","10k","TopLayer","RESC1005X35X20NL05T10","-966.142","347.402","90","SMD Resistor"
"R3","4k99","TopLayer","RESC1005X35X20NL05T10","-352.362","-480.315","180","SMD Resistor"
"R4","3M3","TopLayer","RESC1005X35X20NL05T10","-343.504","-904.528","90","SMD Resistor"
"R5","3M3","TopLayer","RESC1005X35X20NL05T10","-421.260","-904.016","90","SMD Resistor"
"R6","100k","TopLayer","RESC1005X35X20NL05T10","-421.260","-992.480","90","SMD Resistor"
"R7","100k","TopLayer","RESC1005X35X20NL05T10","-342.520","-992.126","90","SMD Resistor"
"R8","10k","TopLayer","RESC1005X35X20NL05T10","-872.441","-723.228","180","SMD Resistor"
"R9","10k","TopLayer","RESC1005X35X20NL05T10","-731.102","-723.622","360","SMD Resistor"
"R10","3M3","TopLayer","RESC1005X35X20NL05T10","-464.764","-904.173","270","SMD Resistor"
"R11","4k99","TopLayer","RESC1005X35X20NL05T10","769.685","-677.165","180","SMD Resistor"
"S1","SQ-MIN-200","TopLayer","SQ-SEN-200","0.000","-157.480","180","Nano Power Tilt and Vibration sensor"
"U1","TPS61025","TopLayer","DRC10-2400X1650TP","167.480","970.905","360","Boost Voltage Converter with 0.9 to 6.5 V Input, -40 to 85 degC, 10-Pin SON (DRC), Green (RoHS & no Sb/Br)"
"U2","nRF52832-QFAA","TopLayer","QFN40P600X600X90-48N","-1161.417","240.157","90","Multi-protocol Bluetooth Low Energy, ANT and 2.4GHz proprietary system-on-chip"
"U3","AL-61SP05SA","BottomLayer","BUZZER_-_AL-61SP05SA","775.591","-881.890","180","Piezo Buzzer"
"C2","100uF","BottomLayer","WCAP-PSHP_D10MM_X_L8.7MM","-319.685","965.039","360","WCAP-PSHP Aluminum Polymer Capacitors, D10mm x L8.7mm, 100 uF, 25 VDC"
"C1","?","TopLayer","CAPC1608X06L","11.811","1011.811","270","Capacitor X7R 0603"
"D1","CRS08","TopLayer","SOD-123F","610.236","1015.748","180","CRS08 Schottky Diode"
"D2","CRS08","TopLayer","SOD-123F","610.236","913.386","180","CRS08 Schottky Diode"
"J5","84952-4","TopLayer","84952-4","1208.661","801.181","0","SMT ZIF connector 4"
